OscP5 0.9.9 infos, comments, questions at http://www.sojamo.de/oscP5

### [2018/4/13 13:54:11] PROCESS @ OscP5 stopped.
### [2018/4/13 13:54:11] PROCESS @ UdpClient.openSocket udp socket initialized.
### [2018/4/13 13:54:12] PROCESS @ UdpServer.start() new Unicast DatagramSocket created @ port 5002
### [2018/4/13 13:54:12] PROCESS @ UdpServer.run() UdpServer is running @ 5002
### [2018/4/13 13:54:12] INFO @ OscP5 is running. you (128.206.21.52) are listening @ port 5002
TimeStamp, Alpha, Beta, Delta, Gamma, Theta

2018-04-13 13:54:14.08,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.147,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.252,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.336,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.474,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.58,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.686,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.755,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.882,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:14.95,=(0.4384034738835625+ 0.1871656883400235+0.6783520370948048+0.17707664047575436)/4,=(0.6635679139233913+ 0.24846266050354973+0.89248259937624+0.7037317767740455)/4,=(0.3788734657170379+ 0.30368402917133663+0.9570119546030738+0.39016536359660486)/4,=(-0.07968806851632837+ -0.08373182657686971+0.30547266487043495+0.02764427794051031)/4,=(0.37416993149333594+ 0.07068563831255278+0.7328521764115364+0.2868814874637888)/4,
