OscP5 0.9.9 infos, comments, questions at http://www.sojamo.de/oscP5


### [2026/4/10 12:36:24] PROCESS @ OscP5 stopped.
### [2026/4/10 12:36:24] PROCESS @ UdpClient.openSocket udp socket initialized.
### [2026/4/10 12:36:25] PROCESS @ UdpServer.start() new Unicast DatagramSocket created @ port 5002
### [2026/4/10 12:36:25] PROCESS @ UdpServer.run() UdpServer is running @ 5002
### [2026/4/10 12:36:25] INFO @ OscP5 is running. you (192.168.103.185) are listening @ port 5002
TimeStamp, Alpha, Beta, Delta, Gamma, Theta

2026-04-10 12:36:26.112,0.57309246,0.22123328,1.1475021,0.76593506,0.32165232,
2026-04-10 12:36:26.13,0.5502313,0.22132427,1.1388389,0.75082123,0.32596597,
2026-04-10 12:36:26.205,0.5212696,0.22294155,1.1216142,0.7369215,0.3316532,
2026-04-10 12:36:26.366,0.49691918,0.22441275,1.1063898,0.7320348,0.33880234,
2026-04-10 12:36:26.452,0.476559,0.22236767,1.1019019,0.7373115,0.34760478,
2026-04-10 12:36:26.54,0.476559,0.22018497,1.1022366,0.73582286,0.3416745,
2026-04-10 12:36:26.626,0.476559,0.21773452,1.103022,0.7344277,0.33478504,
2026-04-10 12:36:26.714,0.476559,0.21494246,1.1056738,0.733285,0.32619908,
2026-04-10 12:36:26.856,0.476559,0.21174665,1.1114315,0.7309649,0.315857,
2026-04-10 12:36:26.995,0.47789097,0.2093724,1.1230385,0.72698486,0.30544773,
2026-04-10 12:36:27.113,0.47363305,0.20937568,1.1255149,0.7188391,0.29690436,
2026-04-10 12:36:27.178,0.44693458,0.20895885,1.1219959,0.6987188,0.288711,
2026-04-10 12:36:27.261,0.40689301,0.20715375,1.1093677,0.6642857,0.28193024,
2026-04-10 12:36:27.38,0.37553608,0.20346087,1.0870657,0.61837184,0.27764213,
2026-04-10 12:36:27.452,0.3635062,0.1981065,1.0606076,0.57311153,0.27594027,
2026-04-10 12:36:27.584,0.35936347,0.19202223,1.0410703,0.5500478,0.2753225,
2026-04-10 12:36:27.654,0.35936347,0.18676342,1.0369166,0.55078757,0.27477828,
2026-04-10 12:36:27.791,0.35936347,0.18351139,1.0442438,0.5617317,0.27525964,
2026-04-10 12:36:27.864,0.35752702,0.18165976,1.0593615,0.5738511,0.27705976,
2026-04-10 12:36:27.954,0.35502476,0.17945881,1.0771703,0.5855507,0.27873105,
2026-04-10 12:36:28.037,0.494775,0.19467247,1.0952015,0.62933004,0.26900548,
2026-04-10 12:36:28.201,0.505537,0.20516936,1.1027158,0.6637534,0.2560016,
